127.0.0.1 - - [24/Apr/2023:10:15:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/images/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:16:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:19:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:19:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:19:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [24/Apr/2023:10:19:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2979
